sleeper_id,name,position,nfl_team,age,fc_offense_rank,dhq_offense_rank,overall_rank_delta,fc_position_rank,dhq_position_rank,position_rank_delta,fc_value,dhq_value,value_delta,value_delta_pct,fc_trend_30d,dhq_source,ppg,starter_seasons,league_starter_pool,replacement_line_ppg,age_curve_phase,fc_weight
12519,Luther Burden,WR,CHI,22.4,57,55,-2,21,19,-2,3637,3137,-500,-13.7,41,DHQ_FC_BLEND,7.8425,2,,,,25
9224,Chase Brown,RB,CIN,26.1,58,53,-5,16,14,-2,3570,3167,-403,-11.3,-139,DHQ_FC_BLEND,7.9175,2,,,,25
5859,A.J. Brown,WR,PHI,28.8,59,63,4,22,24,2,3563,2920,-643,-18,110,DHQ_FC_BLEND,7.3,1,,,,25
11584,Bucky Irving,RB,TB,23.7,60,56,-4,17,16,-1,3557,3131,-426,-12,-90,DHQ_FC_BLEND,7.8275,2,,,,25
11631,Brian Thomas,WR,JAX,23.6,61,60,-1,23,22,-1,3506,2977,-529,-15.1,56,DHQ_FC_BLEND,7.4425,1,,,,25
4892,Baker Mayfield,QB,TB,31.1,62,58,-4,18,18,0,3505,3003,-502,-14.3,-1,DHQ_FC_BLEND,7.5075,2,,,,25
11628,Marvin Harrison Jr,WR,ARI,23.7,63,62,-1,24,23,-1,3486,2932,-554,-15.9,-30,DHQ_FC_BLEND,7.33,1,,,,25
7525,DeVonta Smith,WR,PHI,27.5,64,78,14,25,28,3,3466,2637,-829,-23.9,482,DHQ_FC_BLEND,6.5925,1,,,,25
13286,Jadarian Price,RB,SEA,22.6,65,91,26,18,24,6,3401,2077,-1324,-38.9,879,FC_ROOKIE,5.1925,0,,,,25
3163,Jared Goff,QB,DET,31.6,66,64,-2,19,20,1,3331,2901,-430,-12.9,44,DHQ_FC_BLEND,7.2525,1,,,,25
6801,Tee Higgins,WR,CIN,27.3,67,65,-2,26,25,-1,3331,2871,-460,-13.8,1,DHQ_FC_BLEND,7.1775,1,,,,25
9758,C.J. Stroud,QB,HOU,24.6,68,61,-7,20,19,-1,3310,2948,-362,-10.9,-9,DHQ_FC_BLEND,7.37,1,,,,25
9484,Tucker Kraft,TE,GB,25.5,69,68,-1,5,6,1,3255,2795,-460,-14.1,-101,DHQ_FC_BLEND,6.9875,1,,,,25
7526,Jaylen Waddle,WR,DEN,27.4,70,73,3,27,27,0,3222,2672,-550,-17.1,26,DHQ_FC_BLEND,6.68,1,,,,25
12506,Harold Fannin,TE,CLE,21.8,71,67,-4,6,5,-1,3215,2808,-407,-12.7,-125,DHQ_FC_BLEND,7.02,1,,,,25
5850,Josh Jacobs,RB,GB,28.2,72,72,0,19,18,-1,3164,2728,-436,-13.8,28,DHQ_FC_BLEND,6.82,1,,,,25
12545,Tyler Shough,QB,NO,26.6,73,74,1,21,21,0,3141,2667,-474,-15.1,42,DHQ_FC_BLEND,6.6675,1,,,,25
4943,Sam Darnold,QB,SEA,28.9,74,76,2,22,22,0,3130,2659,-471,-15,123,DHQ_FC_BLEND,6.6475,1,,,,25
12481,Cam Skattebo,RB,NYG,24.2,75,82,7,20,21,1,3128,2428,-700,-22.4,345,DHQ_FC_BLEND,6.07,1,,,,25
10859,Sam LaPorta,TE,DET,25.3,76,70,-6,7,7,0,3095,2764,-331,-10.7,-130,DHQ_FC_BLEND,6.91,1,,,,25
13330,Kenyon Sadiq,TE,NYJ,21.2,77,71,-6,8,8,0,3091,2750,-341,-11,-160,FC_ROOKIE,6.875,0,,,,25
9997,Zay Flowers,WR,BAL,25.6,78,66,-12,28,26,-2,3048,2827,-221,-7.3,-226,DHQ_FC_BLEND,7.0675,1,,,,25
13298,KC Concepcion,WR,CLE,21.6,79,86,7,29,31,2,3023,2309,-714,-23.6,310,FC_ROOKIE,5.7725,0,,,,25
7588,Javonte Williams,RB,DAL,26,80,80,0,21,20,-1,3016,2546,-470,-15.6,101,DHQ_FC_BLEND,6.365,1,,,,25
7543,Travis Etienne,RB,NO,27.3,81,75,-6,22,19,-3,2943,2665,-278,-9.4,6,DHQ_FC_BLEND,6.6625,1,,,,25
